Species;Code_Species;Compartment;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Caulophryne sp.;Caulophryne.sp;FISH;125792;Caulophryne;Goode & Bean, 1896;Animalia;Chordata;Teleostei;Lophiiformes;Caulophrynidae;Caulophryne;Genus
Cavolinia inflexa;Cavo.infl;MOLL;139029;Cavolinia inflexa;(Lesueur, 1813);Animalia;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Cavolinia;Species
Cavolinia tridentata;Cavo.trid;MOLL;139030;Cavolinia tridentata;(Forsskål, 1775);Animalia;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Cavolinia;Species
Cavolinia uncinata;Cavo.unci;MOLL;139031;Cavolinia uncinata;(d'Orbigny, 1835);Animalia;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Cavolinia;Species
Cephalopholis fulva;Ceph.fulv;FISH;279148;Cephalopholis fulva;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Perciformes;Serranidae;Cephalopholis;Species
Ceratias sp.;Ceratias.sp;FISH;125794;Ceratias;Krøyer, 1845;Animalia;Chordata;Teleostei;Lophiiformes;Ceratiidae;Ceratias;Genus
Ceratias uranoscopus;Cera.uran;FISH;158796;Ceratias uranoscopus;Murray, 1877;Animalia;Chordata;Teleostei;Lophiiformes;Ceratiidae;Ceratias;Species
Ceratiidae sp.;Ceratiidae.sp;FISH;125487;Ceratiidae;Gill, 1861;Animalia;Chordata;Teleostei;Lophiiformes;Ceratiidae;NaN;Family
Ceratoscopelus warmingii;Cera.warm;FISH;126586;Ceratoscopelus warmingii;(Lütken, 1892);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Ceratoscopelus;Species
Cetomimus sp.;Ceto.sp;FISH;125707;Cetomimus;Goode & Bean, 1895;Animalia;Chordata;Teleostei;Beryciformes;Cetomimidae;Cetomimus;Genus
Cetostoma regani;Ceto.rega;FISH;126406;Cetostoma regani;Zugmayer, 1914;Animalia;Chordata;Teleostei;Beryciformes;Cetomimidae;Cetostoma;Species
Chaenophryne draco;Chae.drac;FISH;126559;Chaenophryne draco;Beebe, 1932;Animalia;Chordata;Teleostei;Lophiiformes;Oneirodidae;Chaenophryne;Species
Chaenophryne ramifera;Chae.rami;FISH;272617;Chaenophryne ramifera;Regan & Trewavas, 1932;Animalia;Chordata;Teleostei;Lophiiformes;Oneirodidae;Chaenophryne;Species
Chaenophryne sp.;Chae.sp;FISH;125805;Chaenophryne;Regan, 1925;Animalia;Chordata;Teleostei;Lophiiformes;Oneirodidae;Chaenophryne;Genus
Chaetodipterus faber;Chae.fabe;FISH;159703;Chaetodipterus faber;(Broussonet, 1782);Animalia;Chordata;Teleostei;Acanthuriformes;Ephippidae;Chaetodipterus;Species
Chaetodon ocellatus;Chae.ocel;FISH;159662;Chaetodon ocellatus;Bloch, 1787;Animalia;Chordata;Teleostei;Acanthuriformes;Chaetodontidae;Chaetodon;Species
Chaetodon striatus;Chae.stri;FISH;159663;Chaetodon striatus;Linnaeus, 1758;Animalia;Chordata;Teleostei;Acanthuriformes;Chaetodontidae;Chaetodon;Species
Chamaedoris peniculum;Cham.peni;MACROALGAE;373250;Chamaedoris peniculum;(J.Ellis & Solander) Kuntze, 1898;Plantae;Chlorophyta;Ulvophyceae;Cladophorales;Siphonocladaceae;Chamaedoris;Species
Champia feldmannii;Cham.feld;MACROALGAE;373016;Champia feldmannii;Díaz-Piferrer, 1977;Plantae;Rhodophyta;Florideophyceae;Rhodymeniales;Champiaceae;Champia;Species
Channomuraena vittata;Chan.vitt;FISH;217466;Channomuraena vittata;(Richardson, 1845);Animalia;Chordata;Teleostei;Anguilliformes;Muraenidae;Channomuraena;Species
Chauliodus sloani;Chau.sloa;FISH;127338;Chauliodus sloani;Bloch & Schneider, 1801;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Chauliodus;Species
Chiasmodon braueri;Chia.brau;FISH;273378;Chiasmodon braueri;Weber, 1913;Animalia;Chordata;Teleostei;Scombriformes;Chiasmodontidae;Chiasmodon;Species
Chiasmodon niger;Chia.nige;FISH;126840;Chiasmodon niger;Johnson, 1864;Animalia;Chordata;Teleostei;Scombriformes;Chiasmodontidae;Chiasmodon;Species
Chiasmodon sp.;Chia.sp;FISH;125956;Chiasmodon;Johnson, 1864;Animalia;Chordata;Teleostei;Scombriformes;Chiasmodontidae;Chiasmodon;Genus
Chilomycterus spinosus;Chil.spin;FISH;293565;Chilomycterus spinosus;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Tetraodontiformes;Diodontidae;Chilomycterus;Species
Chirocentrodon bleekerianus;Chir.blee;FISH;280154;Chirocentrodon bleekerianus;(Poey, 1867);Animalia;Chordata;Teleostei;Clupeiformes;Pristigasteridae;Chirocentrodon;Species
Chiroteuthis mega;Chir.mega;MOLL;394999;Chiroteuthis mega;(Joubin, 1932);Animalia;Mollusca;Cephalopoda;Oegopsida;Chiroteuthidae;Chiroteuthis;Species
Chiroteuthis sp.;Chir.sp;MOLL;137777;Chiroteuthis;d'Orbigny [in A. Férussac & d'Orbigny], 1841;Animalia;Mollusca;Cephalopoda;Oegopsida;Chiroteuthidae;Chiroteuthis;Genus
Chiroteuthis veranii;Chir.vera;MOLL;139125;Chiroteuthis veranii;(A. Férussac, 1834);Animalia;Mollusca;Cephalopoda;Oegopsida;Chiroteuthidae;Chiroteuthis;Species
Chlopsis bicolor;Chlo.bico;FISH;126282;Chlopsis bicolor;Rafinesque, 1810;Animalia;Chordata;Teleostei;Anguilliformes;Chlopsidae;Chlopsis;Species
Chlopsis dentatus;Chlo.dent;FISH;221382;Chlopsis dentatus;(Seale, 1917);Animalia;Chordata;Teleostei;Anguilliformes;Chlopsidae;Chlopsis;Species
Chloroscombrus chrysurus;Chlo.chry;FISH;159483;Chloroscombrus chrysurus;(Linnaeus, 1766);Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Chloroscombrus;Species
Chrysymenia sp.;Chry.sp;MACROALGAE;144248;Chrysymenia;J.Agardh, 1842;Plantae;Rhodophyta;Florideophyceae;Rhodymeniales;Rhodymeniaceae;Chrysymenia;Genus
Cladophora prolifera;Clad.prol;MACROALGAE;145060;Cladophora prolifera;(Roth) Kützing, 1843;Plantae;Chlorophyta;Ulvophyceae;Cladophorales;Cladophoraceae;Cladophora;Species
Clathria (Microciona) sp. nov.;Clat.sp.nov;SPONGES;131868;Clathria;Schmidt, 1862;Animalia;Porifera;Demospongiae;Poecilosclerida;Microcionidae;Clathria;Genus
Coifmanniella merjonesi;Coif.merj;CRUS;226697;Coifmanniella merjonesi;(Bacescu, 1968);Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Coifmanniella;Species
Conger triporiceps;Cong.trip;FISH;271749;Conger triporiceps;Kanazawa, 1958;Animalia;Chordata;Teleostei;Anguilliformes;Congridae;Conger;Species
Conodon nobilis;Cono.nobi;FISH;280386;Conodon nobilis;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Conodon;Species
Cranchia scabra;Cran.scab;MOLL;181386;Cranchia scabra;Leach, 1817;Animalia;Mollusca;Cephalopoda;Oegopsida;Cranchiidae;Cranchia;Species
Cranchiidae sp.;Cran.sp;MOLL;11774;Cranchiidae;Prosch, 1847;Animalia;Mollusca;Cephalopoda;Oegopsida;Cranchiidae;NaN;Family
Cryptonemia crenulata;Cryp.cren;MACROALGAE;145238;Cryptonemia crenulata;(J.Agardh) J.Agardh, 1851;Plantae;Rhodophyta;Florideophyceae;Halymeniales;Halymeniaceae;Cryptonemia;Species
Cryptonemia seminervis;Cryp.semi;MACROALGAE;145241;Cryptonemia seminervis;(C.Agardh) J.Agardh, 1846;Plantae;Rhodophyta;Florideophyceae;Halymeniales;Halymeniaceae;Cryptonemia;Species
Cryptotomus roseus;Cryp.rose;FISH;277118;Cryptotomus roseus;Cope, 1871;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Scaridae;Cryptotomus;Species
Ctenophora (bv);Cteno.bv;GELATINOUS;163921;Ctenophora;Eschscholtz, 1829;Animalia;Ctenophora;NaN;NaN;NaN;NaN;Phylum
Cubiceps pauciradiatus;Cubi.pauc;FISH;159424;Cubiceps pauciradiatus;Günther, 1872;Animalia;Chordata;Teleostei;Scombriformes;Nomeidae;Cubiceps;Species
Cuvierina columnella;Cuvi.colu;MOLL;139036;Cuvierina columnella;(Rang, 1827);Animalia;Mollusca;Gastropoda;Pteropoda;Cuvierinidae;Cuvierina;Species
Cyclopsetta fimbriata;Cycl.fimb;FISH;158795;Cyclopsetta fimbriata;(Goode & Bean, 1885);Animalia;Chordata;Teleostei;Pleuronectiformes;Paralichthyidae;Cyclopsetta;Species
Cyclosalpa pinnata (sol);Cyc.pin.sol;GELATINOUS;137260;Cyclosalpa pinnata;(Forskål, 1775);Animalia;Chordata;Thaliacea;Salpida;Salpidae;Cyclosalpa;Species
Cyclosalpa polae (sol);Cyc.pol.sol;GELATINOUS;137261;Cyclosalpa polae;Sigl, 1912;Animalia;Chordata;Thaliacea;Salpida;Salpidae;Cyclosalpa;Species
Cyclothone spp.;Cycl.spp;FISH;126187;Cyclothone;Goode & Bean, 1883;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Cyclothone;Genus
Cyphocaris sp.;Cyph.sp;CRUS;101603;Cyphocaris;Boeck, 1871;Animalia;Arthropoda;Malacostraca;Amphipoda;Cyphocarididae;Cyphocaris;Genus
Dactylopterus volitans;Dact.voli;FISH;127232;Dactylopterus volitans;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Dactylopteriformes;Dactylopteridae;Dactylopterus;Species
Dasya sp.;Dasy.sp;MACROALGAE;143870;Dasya;C.Agardh, 1824;Plantae;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Dasya;Genus
Dasyscopelus asper;Dasy.aspe;FISH;317659;Dasyscopelus asper;(Richardson, 1845);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Myctophum;Species
